"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2024","513.38","514.20","516.69","513.21","","-0.16%"
"02/19/2024","514.20","514.24","516.55","513.05","","-0.01%"
"02/16/2024","514.24","516.42","519.13","514.24","","-0.42%"
"02/15/2024","516.42","517.74","519.24","515.78","","-0.25%"
"02/14/2024","517.74","517.30","520.41","516.00","","0.09%"
"02/13/2024","517.30","516.70","519.78","515.80","","0.12%"
"02/12/2024","516.70","516.70","519.38","515.76","","0.00%"
"02/09/2024","516.70","516.70","519.47","515.76","","0.00%"
"02/08/2024","516.70","516.86","519.73","515.81","","-0.03%"
"02/07/2024","516.86","516.86","519.79","515.55","","0.00%"
"02/06/2024","516.86","516.86","519.30","514.56","","0.00%"
"02/05/2024","516.86","515.65","520.50","514.79","","0.00%"
"02/02/2024","516.86","516.23","520.50","514.50","","0.12%"
"02/01/2024","516.23","512.87","518.12","512.85","","0.66%"
"01/31/2024","512.87","513.64","516.90","511.78","","0.00%"
"01/30/2024","512.87","512.87","516.12","511.78","","0.00%"
"01/29/2024","512.87","511.04","515.49","511.04","","0.36%"
"01/26/2024","511.04","512.61","514.76","511.03","","-0.31%"
"01/25/2024","512.61","512.61","515.76","512.08","","0.00%"
"01/24/2024","512.61","513.74","516.26","512.41","","-0.22%"
"01/23/2024","513.74","513.75","516.63","512.91","","0.00%"
"01/22/2024","513.75","517.59","517.59","513.51","","-0.17%"
"01/19/2024","514.61","514.75","520.50","514.32","","-0.03%"
"01/18/2024","514.75","515.61","517.72","513.77","","-0.17%"
"01/17/2024","515.61","516.50","519.03","514.27","","-0.17%"
"01/16/2024","516.50","519.74","522.31","516.30","","-0.62%"
"01/15/2024","519.74","519.74","522.31","518.04","","0.00%"
"01/12/2024","519.74","519.99","522.09","518.49","","-0.05%"
"01/11/2024","519.99","520.73","523.87","519.03","","-0.14%"
"01/10/2024","520.73","519.61","524.05","518.50","","-0.07%"
"01/09/2024","521.09","519.61","523.42","518.05","","0.00%"
"01/08/2024","521.09","519.61","522.73","517.80","","0.28%"
"01/05/2024","519.61","519.25","521.68","518.19","","0.00%"
"01/04/2024","519.61","519.25","522.15","518.75","","0.00%"
"01/03/2024","519.61","519.25","522.84","519.17","","0.00%"
"01/02/2024","519.61","519.61","523.44","519.25","","0.00%"
"01/01/2024","519.61","519.61","523.05","519.61","","0.00%"
"12/29/2023","519.61","519.61","523.31","519.07","","0.00%"
"12/28/2023","519.61","518.88","522.79","518.57","","0.14%"
"12/27/2023","518.88","520.75","523.50","518.88","","-0.36%"
"12/26/2023","520.75","521.13","524.50","520.62","","-0.07%"
"12/25/2023","521.13","521.13","523.46","520.62","","0.00%"
"12/22/2023","521.13","520.98","524.50","520.54","","0.03%"
"12/21/2023","520.98","522.50","524.51","520.92","","-0.29%"
"12/20/2023","522.50","522.75","524.88","521.92","","-0.05%"
"12/19/2023","522.75","524.13","526.08","522.06","","-0.26%"
"12/18/2023","524.13","524.13","526.70","523.19","","0.00%"
"12/15/2023","524.13","528.08","528.73","523.66","","-0.26%"
"12/14/2023","525.49","525.75","528.58","524.78","","-0.05%"
"12/13/2023","525.75","527.13","530.59","524.95","","-0.26%"
"12/12/2023","527.13","527.59","530.56","526.75","","-0.09%"
"12/11/2023","527.59","529.91","530.60","526.96","","0.12%"
"12/08/2023","526.96","527.75","531.61","526.96","","-0.15%"
